samples	OralSite	colors
159611913-ST	ST	#000000
414519462-PT	PT	#00CCFF
158924089-PT	PT	#00CCFF
147406386-ST	ST	#000000
160319967-ST	ST	#000000
336497421-PT	PT	#00CCFF
160056975-ST	ST	#000000
159450072-ST	ST	#000000
160542498-PT	PT	#00CCFF
160421117-ST	ST	#000000
764083206-PT	PT	#00CCFF
158479027-PT	PT	#00CCFF
764447348-PT	PT	#00CCFF
159207311-PT	PT	#00CCFF
158337416-ST	ST	#000000
604812005-PT	PT	#00CCFF
160158126-ST	ST	#000000
861967750-ST	ST	#000000
668248235-PT	PT	#00CCFF
764305738-ST	ST	#000000
764487809-ST	ST	#000000
763982056-PT	PT	#00CCFF
158499257-PT	PT	#00CCFF
160906640-PT	PT	#00CCFF
160259276-PT	PT	#00CCFF
840279516-PT	PT	#00CCFF
158924089-ST	ST	#000000
147406386-PT	PT	#00CCFF
414519462-ST	ST	#000000
158721788-ST	ST	#000000
160441347-PT	PT	#00CCFF
160643649-PT	PT	#00CCFF
159389382-ST	ST	#000000
159571453-ST	ST	#000000
159450072-PT	PT	#00CCFF
517810313-PT	PT	#00CCFF
206906765-ST	ST	#000000
432193348-PT	PT	#00CCFF
764366428-PT	PT	#00CCFF
638754422-ST	ST	#000000
158499257-ST	ST	#000000
764467579-PT	PT	#00CCFF
764143897-PT	PT	#00CCFF
160380657-PT	PT	#00CCFF
764305738-PT	PT	#00CCFF
161331472-PT	PT	#00CCFF
764649650-ST	ST	#000000
970836795-ST	ST	#000000
682449369-PT	PT	#00CCFF
161068481-ST	ST	#000000
763719065-ST	ST	#000000
160259276-ST	ST	#000000
514014184-PT	PT	#00CCFF
160481808-PT	PT	#00CCFF
160765029-ST	ST	#000000
533247696-PT	PT	#00CCFF
764831721-ST	ST	#000000
159369152-PT	PT	#00CCFF
160036745-ST	ST	#000000
970836795-PT	PT	#00CCFF
158013734-ST	ST	#000000
763921366-PT	PT	#00CCFF
336497421-ST	ST	#000000
370425937-ST	ST	#000000
764366428-ST	ST	#000000
764487809-PT	PT	#00CCFF
158276726-PT	PT	#00CCFF
809635352-ST	ST	#000000
763982056-ST	ST	#000000
160319967-PT	PT	#00CCFF
161554003-PT	PT	#00CCFF
159146620-ST	ST	#000000
763759525-PT	PT	#00CCFF
686765762-PT	PT	#00CCFF
159632143-PT	PT	#00CCFF
257905678-ST	ST	#000000
764649650-PT	PT	#00CCFF
158822939-PT	PT	#00CCFF
160704339-ST	ST	#000000
514014184-ST	ST	#000000
158479027-ST	ST	#000000
764447348-ST	ST	#000000
764831721-PT	PT	#00CCFF
160158126-PT	PT	#00CCFF
160380657-ST	ST	#000000
492786515-ST	ST	#000000
159672603-PT	PT	#00CCFF
764892411-ST	ST	#000000
370027359-PT	PT	#00CCFF
159632143-ST	ST	#000000
158944319-ST	ST	#000000
257905678-PT	PT	#00CCFF
160684109-ST	ST	#000000
809635352-PT	PT	#00CCFF
892969023-PT	PT	#00CCFF
158276726-ST	ST	#000000
159389382-PT	PT	#00CCFF
432193348-ST	ST	#000000
159591683-PT	PT	#00CCFF
160643649-ST	ST	#000000
159571453-PT	PT	#00CCFF
764750800-ST	ST	#000000
159510762-PT	PT	#00CCFF
764143897-ST	ST	#000000
492786515-PT	PT	#00CCFF
160704339-PT	PT	#00CCFF
517810313-ST	ST	#000000
159672603-ST	ST	#000000
159713063-ST	ST	#000000
892969023-ST	ST	#000000
451588811-PT	PT	#00CCFF
764467579-ST	ST	#000000
160765029-PT	PT	#00CCFF
533247696-ST	ST	#000000
160684109-PT	PT	#00CCFF
764872181-ST	ST	#000000
765135172-ST	ST	#000000
765034022-PT	PT	#00CCFF
161230322-ST	ST	#000000
160987560-PT	PT	#00CCFF
160036745-PT	PT	#00CCFF
160582958-PT	PT	#00CCFF
158721788-PT	PT	#00CCFF
159146620-PT	PT	#00CCFF
764002286-PT	PT	#00CCFF
158013734-PT	PT	#00CCFF
763456073-PT	PT	#00CCFF
161007791-PT	PT	#00CCFF
370425937-PT	PT	#00CCFF
441369442-PT	PT	#00CCFF
160400887-ST	ST	#000000
159369152-ST	ST	#000000
160603188-ST	ST	#000000
763921366-ST	ST	#000000
160987560-ST	ST	#000000
160947100-PT	PT	#00CCFF
158256496-ST	ST	#000000
159288231-PT	PT	#00CCFF
161007791-ST	ST	#000000
161311242-ST	ST	#000000
763880905-ST	ST	#000000
161554003-ST	ST	#000000
161473083-PT	PT	#00CCFF
765135172-PT	PT	#00CCFF
161351702-ST	ST	#000000
160097436-ST	ST	#000000
159005010-ST	ST	#000000
160603188-PT	PT	#00CCFF
159470302-PT	PT	#00CCFF
159490532-ST	ST	#000000
158822939-ST	ST	#000000
158256496-PT	PT	#00CCFF
158458797-ST	ST	#000000
160582958-ST	ST	#000000
764892411-PT	PT	#00CCFF
160340197-PT	PT	#00CCFF
160663879-PT	PT	#00CCFF
159591683-ST	ST	#000000
840279516-ST	ST	#000000
158802708-ST	ST	#000000
295137534-ST	ST	#000000
160016515-PT	PT	#00CCFF
937415040-ST	ST	#000000
206906765-PT	PT	#00CCFF
158944319-PT	PT	#00CCFF
160178356-ST	ST	#000000
160239046-PT	PT	#00CCFF
208027353-PT	PT	#00CCFF
159429842-ST	ST	#000000
